original_id,artists,track name,emotion_type,emotion_score,culture
112132,Tan Taşçı,Ağla Ağla (Live),SADNESS,0.9977443218231201,Turkish
112139,No.1,Karanlıkta Güneşlenenler,SURPRISE,0.9166620373725891,Turkish
112141,Sertab Erener,Fış Fış Kayıkçı,JOY,0.9973301887512207,Turkish
112142,Stabil,Aynalarımda,SADNESS,0.6645955443382263,Turkish
112143,Haluk Levent,Ankara,SADNESS,0.9970364570617676,Turkish
112144,Ajda Pekkan,Sana Neler Edeceğim,JOY,0.46471327543258667,Turkish
112146,Zakkum,Dile Kolay Kalbe Değil,JOY,0.9141900539398193,Turkish
112148,Tan Taşçı,Kalbime Gömüyorum (Live),SADNESS,0.9900715351104736,Turkish
112149,Ahiyan,İstemem,SADNESS,0.9981677532196045,Turkish
112150,Ufuk Beydemir,Ay Tenli Kadın,LOVE,0.4738229513168335,Turkish
112153,Sansar Salvo,Koptu Kayış,ANGER,0.9957935810089111,Turkish
112155,Şam,Kör Kurşun,ANGER,0.9920755624771118,Turkish
112158,Ati242,NERDESİN,ANGER,0.6657434701919556,Turkish
112160,Pinhani,Unutuldular,SURPRISE,0.7499634623527527,Turkish
112161,Şanışer,Beni Kır,JOY,0.9927114248275757,Turkish
112162,Birkan Nasuhoğlu,Sevda,LOVE,0.9600226879119873,Turkish
112163,No.1,İyilik Meleğim,ANGER,0.9954965114593506,Turkish
112166,Gece,22,JOY,0.4654887318611145,Turkish
112172,Yaşlı Amca,Sanki Yapamadım,SADNESS,0.8234972953796387,Turkish
112174,Yeni Türkü,Olmasa Mektubun,SADNESS,0.9980514049530029,Turkish
112175,Burcu Güneş,Yansın Geceler,SADNESS,0.6678822040557861,Turkish
112176,Pantera,Suicide Note Pt. I,JOY,0.9603736996650696,Turkish
112177,Veys Çolak,Kimsenin Kimsesi,ANGER,0.6955441832542419,Turkish
112179,Yüzyüzeyken Konuşuruz,Kendi Evimde Deplasmandayım,SADNESS,0.9608378410339355,Turkish
112180,Batu Akdeniz,Ona Gitme,SADNESS,0.904501736164093,Turkish
112181,Güncel Gürsel Artıktay,Kanar,SADNESS,0.40681368112564087,Turkish
112182,Gece,Derbeder,SADNESS,0.9950942993164062,Turkish
112183,Şanışer,Güya,JOY,0.9357824921607971,Turkish
112186,Emir Can İğrek,Beni Uğurla,SADNESS,0.9867345094680786,Turkish
112188,Ati242,KAPA GÖZLERİNİ,ANGER,0.8498252630233765,Turkish
112190,Sera Savaş,Anlatsam Anlatamam,SADNESS,0.9788094162940979,Turkish
112191,Tan Taşçı,Ben Her Bahar Mutsuzum (Live),SADNESS,0.9963055849075317,Turkish
112194,Kayra,Çok Yaşlıyım,ANGER,0.6857064962387085,Turkish
112196,Teoman,Renkli Rüyalar Oteli,JOY,0.9697574973106384,Turkish
112200,Zeynep Bastık,Ara,LOVE,0.9903848171234131,Turkish
112203,Cem Karaca,Çökertme,SADNESS,0.9298498630523682,Turkish
112205,Sokrat St,Bunu Sen Seçtin,SADNESS,0.9736846685409546,Turkish
112206,Sehabe,Siyah,ANGER,0.7580479383468628,Turkish
112207,Teoman,Kalbin Yok mu,LOVE,0.9819043278694153,Turkish
